	author	cell type	data	gse	paper	path fastq R1	path fastq R2	protocol short	rep	series	source	species	stage	title	treatment	technical_rep	running_mode
0	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551550_HIC001/SRR1658570_pass_2.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551550_HIC001/SRR1658570_pass_1.fastq.gz	tethered-in-situ-Hi-C	NA	GSM1551550	B-lymphoblastoids	Homo-sapiens	NA	HIC001	NA	1	Rao
1	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551551_HIC002/SRR1658571_pass_2.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551551_HIC002/SRR1658571_pass_1.fastq.gz	tethered-in-situ-Hi-C	NA	GSM1551551	B-lymphoblastoids	Homo-sapiens	NA	HIC002	NA	1	Rao
2	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551553_HIC004/SRR1658573_pass_1.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551553_HIC004/SRR1658573_pass_2.fastq.gz	in-situ-Hi-C	NA	GSM1551553	B-lymphoblastoids	Homo-sapiens	NA	HIC004	NA	1	Rao
3	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551554_HIC005/SRR1658574_pass_1.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551554_HIC005/SRR1658574_pass_2.fastq.gz	in-situ-Hi-C	NA	GSM1551554	B-lymphoblastoids	Homo-sapiens	NA	HIC005	NA	1	Rao
4	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551554_HIC005/SRR1658575_pass_2.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551554_HIC005/SRR1658575_pass_1.fastq.gz	in-situ-Hi-C	NA	GSM1551554	B-lymphoblastoids	Homo-sapiens	NA	HIC005	NA	1	Rao
5	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551554_HIC005/SRR1658576_pass_2.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551554_HIC005/SRR1658576_pass_1.fastq.gz	in-situ-Hi-C	NA	GSM1551554	B-lymphoblastoids	Homo-sapiens	NA	HIC005	NA	1	Rao
6	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551555_HIC006/SRR1658577_pass_1.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551555_HIC006/SRR1658577_pass_2.fastq.gz	in-situ-Hi-C	NA	GSM1551555	B-lymphoblastoids	Homo-sapiens	NA	HIC006	NA	1	Rao
7	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551556_HIC007/SRR1658578_pass_2.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551556_HIC007/SRR1658578_pass_1.fastq.gz	in-situ-Hi-C	NA	GSM1551556	B-lymphoblastoids	Homo-sapiens	NA	HIC007	NA	1	Rao
8	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551557_HIC008/SRR1658579_pass_2.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551557_HIC008/SRR1658579_pass_1.fastq.gz	in-situ-Hi-C	NA	GSM1551557	B-lymphoblastoids	Homo-sapiens	NA	HIC008	NA	1	Rao
9	Suhas,,Rao	GM12878	Nov-20-2014	GSE63525	Rao-2014	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551558_HIC009/SRR1658580_pass_2.fastq.gz	/home/HIC_DB/META/GSE63525_SRA/Supp_GSM1551558_HIC009/SRR1658580_pass_1.fastq.gz	in-situ-Hi-C	NA	GSM1551558	B-lymphoblastoids	Homo-sapiens	NA	HIC009	NA	1	Rao
