	author	cell type	data	gse	paper	path fastq R1	path fastq R2	protocol short	rep	series	source	species	stage	title	treatment	running_mode
0	Thomas,,Graf	bonemarrow_B	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535450_B_HiC_rep1/SRR5344921_pass_1.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535450_B_HiC_rep1/SRR5344921_pass_2.fastq.gz	Hi-C	1	GSM2535450	bone marrow	Mus musculus	B	B_HiC_rep1	NA	Stadhouders
1	Thomas,,Graf	bonemarrow_B	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535451_B_HiC_rep2/SRR5344925_pass_1.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535451_B_HiC_rep2/SRR5344925_pass_2.fastq.gz	Hi-C	2	GSM2535451	bone marrow	Mus musculus	B	B_HiC_rep2	NA	Stadhouders
2	Thomas,,Graf	bonemarrow_Ba	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535452_Ba_HiC_rep1/SRR5344929_pass_2.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535452_Ba_HiC_rep1/SRR5344929_pass_1.fastq.gz	Hi-C	1	GSM2535452	bone marrow	Mus musculus	Ba	Ba_HiC_rep1	NA	Stadhouders
3	Thomas,,Graf	bonemarrow_Ba	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535453_Ba_HiC_rep2/SRR5344933_pass_1.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535453_Ba_HiC_rep2/SRR5344933_pass_2.fastq.gz	Hi-C	2	GSM2535453	bone marrow	Mus musculus	Ba	Ba_HiC_rep2	NA	Stadhouders
4	Thomas,,Graf	bonemarrow_D2	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535454_D2_HiC_rep1/SRR5344937_pass_2.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535454_D2_HiC_rep1/SRR5344937_pass_1.fastq.gz	Hi-C	1	GSM2535454	bone marrow	Mus musculus	D2	D2_HiC_rep1	NA	Stadhouders
5	Thomas,,Graf	bonemarrow_D2	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535455_D2_HiC_rep2/SRR5344941_pass_1.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535455_D2_HiC_rep2/SRR5344941_pass_2.fastq.gz	Hi-C	2	GSM2535455	bone marrow	Mus musculus	D2	D2_HiC_rep2	NA	Stadhouders
6	Thomas,,Graf	bonemarrow_D4	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535456_D4_HiC_rep1/SRR5344945_pass_1.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535456_D4_HiC_rep1/SRR5344945_pass_2.fastq.gz	Hi-C	1	GSM2535456	bone marrow	Mus musculus	D4	D4_HiC_rep1	NA	Stadhouders
7	Thomas,,Graf	bonemarrow_D4	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535457_D4_HiC_rep2/SRR5344949_pass_2.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535457_D4_HiC_rep2/SRR5344949_pass_1.fastq.gz	Hi-C	2	GSM2535457	bone marrow	Mus musculus	D4	D4_HiC_rep2	NA	Stadhouders
8	Thomas,,Graf	bonemarrow_D6	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535458_D6_HiC_rep1/SRR5344953_pass_2.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535458_D6_HiC_rep1/SRR5344953_pass_1.fastq.gz	Hi-C	1	GSM2535458	bone marrow	Mus musculus	D6	D6_HiC_rep1	NA	Stadhouders
9	Thomas,,Graf	bonemarrow_D6	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535459_D6_HiC_rep2/SRR5344957_pass_2.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535459_D6_HiC_rep2/SRR5344957_pass_1.fastq.gz	Hi-C	2	GSM2535459	bone marrow	Mus musculus	D6	D6_HiC_rep2	NA	Stadhouders
10	Thomas,,Graf	bonemarrow_D8	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535460_D8_HiC_rep1/SRR5344961_pass_2.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535460_D8_HiC_rep1/SRR5344961_pass_1.fastq.gz	Hi-C	1	GSM2535460	bone marrow	Mus musculus	D8	D8_HiC_rep1	NA	Stadhouders
11	Thomas,,Graf	bonemarrow_D8	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535461_D8_HiC_rep2/SRR5344965_pass_2.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535461_D8_HiC_rep2/SRR5344965_pass_1.fastq.gz	Hi-C	2	GSM2535461	bone marrow	Mus musculus	D8	D8_HiC_rep2	NA	Stadhouders
12	Thomas,,Graf	embryo_PSC	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535462_PSC_HiC_rep1/SRR5344969_pass_1.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535462_PSC_HiC_rep1/SRR5344969_pass_2.fastq.gz	Hi-C	1	GSM2535462	embryo (inner cell mass)	Mus musculus	PSC	PSC_HiC_rep1	NA	Stadhouders
13	Thomas,,Graf	embryo_PSC	Mar 13 2017	GSE96611	Stadhouders 2018	/home/HIC_DB/META/DATA/Supp_GSM2535463_PSC_HiC_rep2/SRR5344973_pass_1.fastq.gz	/home/HIC_DB/META/DATA/Supp_GSM2535463_PSC_HiC_rep2/SRR5344973_pass_2.fastq.gz	Hi-C	2	GSM2535463	embryo (inner cell mass)	Mus musculus	PSC	PSC_HiC_rep2	NA	Stadhouders
